Datetime,Open,High,Low,Close,Volume
2021-05-17T00:00:00Z,2525.75,2525.75,2525.75,2525.75,0
2021-05-18T00:00:00Z,2499.75,2499.75,2499.75,2499.75,0
2021-05-19T00:00:00Z,2434.75,2434.75,2434.75,2434.75,0
2021-05-20T00:00:00Z,2424.5,2424.5,2424.5,2424.5,0
2021-05-21T00:00:00Z,2388.5,2388.5,2388.5,2388.5,0
2021-05-24T00:00:00Z,2406.5,2406.5,2406.5,2406.5,0
2021-05-25T00:00:00Z,2393.5,2393.5,2393.5,2393.5,0
2021-05-26T00:00:00Z,2424.5,2424.5,2424.5,2424.5,0
2021-05-27T00:00:00Z,2501.25,2501.25,2501.25,2501.25,0
2021-05-28T00:00:00Z,2519.5,2519.5,2519.5,2519.5,0
2021-06-01T00:00:00Z,2493.0,2493.0,2493.0,2493.0,0
2021-06-02T00:00:00Z,2465.25,2465.25,2465.25,2465.25,0
2021-06-03T00:00:00Z,2427.75,2427.75,2427.75,2427.75,0
2021-06-04T00:00:00Z,2478.25,2478.25,2478.25,2478.25,0
2021-06-07T00:00:00Z,2452.75,2452.75,2452.75,2452.75,0
2021-06-08T00:00:00Z,2470.75,2470.75,2470.75,2470.75,0
2021-06-09T00:00:00Z,2475.25,2475.25,2475.25,2475.25,0
2021-06-10T00:00:00Z,2500.75,2500.75,2500.75,2500.75,0
2021-06-11T00:00:00Z,2488.75,2488.75,2488.75,2488.75,0
2021-06-14T00:00:00Z,2518.0,2518.0,2518.0,2518.0,0
2021-06-15T00:00:00Z,2479.75,2479.75,2479.75,2479.75,0
2021-06-16T00:00:00Z,2488.25,2488.25,2488.25,2488.25,0
2021-06-17T00:00:00Z,2420.0,2420.0,2420.0,2420.0,0
2021-06-18T00:00:00Z,2401.75,2401.75,2401.75,2401.75,0
2021-06-21T00:00:00Z,2420.5,2420.5,2420.5,2420.5,0
2021-06-22T00:00:00Z,2439.25,2439.25,2439.25,2439.25,0
2021-06-23T00:00:00Z,2447.25,2447.25,2447.25,2447.25,0
2021-06-24T00:00:00Z,2454.0,2454.0,2454.0,2454.0,0
2021-06-25T00:00:00Z,2502.0,2502.0,2502.0,2502.0,0
2021-06-28T00:00:00Z,2511.5,2511.5,2511.5,2511.5,0
2021-06-29T00:00:00Z,2569.0,2569.0,2569.0,2569.0,0
2021-06-30T00:00:00Z,2548.75,2548.75,2548.75,2548.75,0
2021-07-01T00:00:00Z,2534.75,2534.75,2534.75,2534.75,0
2021-07-02T00:00:00Z,2585.75,2585.75,2585.75,2585.75,0
2021-07-06T00:00:00Z,2556.0,2556.0,2556.0,2556.0,0
2021-07-07T00:00:00Z,2524.0,2524.0,2524.0,2524.0,0
2021-07-08T00:00:00Z,2467.0,2467.0,2467.0,2467.0,0
2021-07-09T00:00:00Z,2521.75,2521.75,2521.75,2521.75,0
