published_at_utc,title,link,publisher,headline_sentiment,sentiment_label,news_yahoo_symbol,price_yahoo_symbol
2026-01-27T16:00:00Z,Best-Performing ETFs of Last Week: Commodity Wins,https://finance.yahoo.com/news/best-performing-etfs-last-week-160000723.html,Zacks,0.0,neutral,PALL,PA=F
2026-01-23T13:58:01Z,Palladium Bulls (PALL Stock) Have An Automaker Substitution Problem,https://247wallst.com/investing/2026/01/23/palladium-bulls-pall-stock-have-an-automaker-substitution-problem/,24/7 Wall St.,0.0,neutral,PALL,PA=F
2026-01-07T13:00:00Z,ETF Stories to Rule in 2026,https://finance.yahoo.com/news/etf-stories-rule-2026-130000589.html,Zacks,0.0,neutral,PALL,PA=F
2026-01-03T13:26:00Z,Off-the-Beaten-Path Metals ETFs With Big Potential,https://www.marketbeat.com/stock-ideas/off-the-beaten-path-metals-etfs-with-big-potential/?utm_source=yahoofinance&utm_medium=yahoofinance,MarketBeat,0.0,neutral,PALL,PA=F
2025-12-30T16:00:00Z,6 ETF Predictions for 2026,https://finance.yahoo.com/news/6-etf-predictions-2026-160000571.html,Zacks,0.0,neutral,PALL,PA=F
2025-12-24T16:00:00Z,"Santa Rally for Metal ETFs as Gold, Silver & Platinum Hit Highs",https://finance.yahoo.com/news/santa-rally-metal-etfs-gold-160000460.html,Zacks,1.0,bullish,PALL,PA=F
2025-10-17T09:00:00Z,Palladium ETF (PALL) Hits New 52-Week High,https://finance.yahoo.com/news/palladium-etf-pall-hits-52-090000723.html,Zacks,1.0,bullish,PALL,PA=F
2025-09-30T10:00:00Z,Best-Performing ETF Areas of Last Week That Are Up At Least 10%,https://finance.yahoo.com/news/best-performing-etf-areas-last-100000873.html,Zacks,1.0,bullish,PALL,PA=F
