published_at_utc,title,link,publisher,headline_sentiment,sentiment_label,news_yahoo_symbol,price_yahoo_symbol
2026-03-10T11:00:00Z,ETFs to Play as Oil Surges Past $110 on Middle East Conflict,https://finance.yahoo.com/news/etfs-play-oil-surges-past-110000894.html,Zacks,1.0,bullish,DBB,ZNC=F
2026-01-06T14:20:00Z,Market Minute 1-6-26- Metals Mania Spreads as Markets Tighten,https://finance.yahoo.com/news/market-minute-1-6-26-142000985.html,MoneyShow,0.0,neutral,DBB,ZNC=F
2025-08-19T21:53:00Z,Trump’s 50% Steel Tariffs Are Now Hitting Harder,https://app.moby.co/home/news/news-trumps-50-steel-tariffs-are-now-hitting-harder?utm_source=yahoo_finance&utm_medium=rss,Moby,0.0,neutral,DBB,ZNC=F
