symbol,price,volume,current_price,revenue,net_income,eps,profit_margins,operating_cash_flow,total_debt,GDP,Industrial Production,Retail Sales,Unemployment Rate,Non-Farm Payrolls,Jobless Claims,Labor Participation Rate,CPI,PPI,Fed Funds Rate,10Y Treasury Yield,2Y Treasury Yield,USD Index,High Yield Credit Spread,Fed Balance Sheet,Money Supply,Yield Curve (10Y-2Y)
AAPL,150,100000,,416161000000.0,112010000000.0,8.26,0.27152002,111482000000.0,98657000000.0,31856.257,102.4963,757085.0,4.3,158736.0,211000.0,61.8,332.407,283.764,3.64,4.47,4.0,118.0392,2.76,6728502.0,22686.0,0.46999999999999975
MSFT,150,100000,,281724000000.0,101832000000.0,16.79,0.39341998,136162000000.0,60588000000.0,31856.257,102.4963,757085.0,4.3,158736.0,211000.0,61.8,332.407,283.764,3.64,4.47,4.0,118.0392,2.76,6728502.0,22686.0,0.46999999999999975
TSLA,150,100000,,94827000000.0,3794000000.0,1.1,0.03946,14747000000.0,14719000000.0,31856.257,102.4963,757085.0,4.3,158736.0,211000.0,61.8,332.407,283.764,3.64,4.47,4.0,118.0392,2.76,6728502.0,22686.0,0.46999999999999975
