Datetime,Open,High,Low,Close
2003-12-01 00:00:00+00:00,189.3300018310547,194.80999755859375,185.58999633789062,192.02999877929688
2004-01-01 00:00:00+00:00,192.02999877929688,197.83999633789062,189.22999572753906,192.7899932861328
2004-02-01 00:00:00+00:00,192.7899932861328,205.8300018310547,191.47000122070312,204.39999389648438
2004-03-01 00:00:00+00:00,204.41000366210938,207.9499969482422,189.80999755859375,192.10000610351562
2004-03-31 23:00:00+00:00,192.1199951171875,196.60000610351562,190.05999755859375,196.27000427246094
2004-04-30 23:00:00+00:00,196.27000427246094,203.97999572753906,194.0399932861328,200.64999389648438
2004-05-31 23:00:00+00:00,200.66000366210938,204.97999572753906,194.55999755859375,198.11000061035156
2004-06-30 23:00:00+00:00,198.1300048828125,211.8000030517578,195.91000366210938,202.8800048828125
2004-07-31 23:00:00+00:00,202.8800048828125,205.94000244140625,195.8699951171875,196.74000549316406
2004-08-31 23:00:00+00:00,196.72999572753906,202.4499969482422,193.6999969482422,199.52000427246094
2004-09-30 23:00:00+00:00,199.52999877929688,199.64999389648438,60.0260009765625,194.72999572753906
2004-11-01 00:00:00+00:00,194.72000122070312,197.91000366210938,190.97999572753906,196.49000549316406
2004-12-01 00:00:00+00:00,196.47999572753906,203.6199951171875,196.19000244140625,196.72999572753906
2005-01-01 00:00:00+00:00,196.8300018310547,197.64999389648438,189.5500030517578,195.1699981689453
2005-02-01 00:00:00+00:00,195.1699981689453,202.41000366210938,194.5,200.58999633789062
2005-03-01 00:00:00+00:00,200.61000061035156,202.7100067138672,197.50999450683594,202.39999389648438
2005-03-31 23:00:00+00:00,202.39999389648438,205.27999877929688,199.58999633789062,200.44000244140625
2005-04-30 23:00:00+00:00,200.44000244140625,201.39999389648438,195.57000732421875,196.99000549316406
2005-05-31 23:00:00+00:00,196.9600067138672,200.3300018310547,194.1199951171875,198.41000366210938
2005-06-30 23:00:00+00:00,198.52000427246094,198.52000427246094,192.72000122070312,197.69000244140625
2005-07-31 23:00:00+00:00,197.7100067138672,202.97999572753906,195.02999877929688,199.50999450683594
2005-08-31 23:00:00+00:00,199.49000549316406,385.1700134277344,192.13999938964844,200.22999572753906
2005-09-30 23:00:00+00:00,200.22999572753906,206.57000732421875,199.1699981689453,205.91000366210938
2005-11-01 00:00:00+00:00,205.92999267578125,208.1999969482422,203.49000549316406,207.17999267578125
2005-12-01 00:00:00+00:00,207.17999267578125,212.97000122070312,200.58999633789062,203.02999877929688
2006-01-01 00:00:00+00:00,203.02999877929688,208.88999938964844,200.5399932861328,208.64999389648438
2006-02-01 00:00:00+00:00,208.64999389648438,211.1199951171875,201.6999969482422,203.07000732421875
2006-03-01 00:00:00+00:00,203.07000732421875,206.13999938964844,202.5500030517578,204.6199951171875
2006-03-31 23:00:00+00:00,204.6199951171875,210.72999572753906,203.92999267578125,207.38999938964844
2006-04-30 23:00:00+00:00,207.3699951171875,211.44000244140625,205.36000061035156,210.5399932861328
2006-05-31 23:00:00+00:00,210.57000732421875,213.67999267578125,209.49000549316406,211.27000427246094
2006-06-30 23:00:00+00:00,211.27000427246094,216.4499969482422,209.57000732421875,213.89999389648438
2006-07-31 23:00:00+00:00,213.88999938964844,223.80999755859375,213.5800018310547,223.30999755859375
2006-08-31 23:00:00+00:00,223.2899932861328,223.55999755859375,217.44000244140625,221.3699951171875
2006-09-30 23:00:00+00:00,221.3699951171875,224.3000030517578,220.44000244140625,222.86000061035156
2006-11-01 00:00:00+00:00,222.89999389648438,227.7899932861328,222.33999633789062,227.4600067138672
2006-12-01 00:00:00+00:00,227.42999267578125,234.57000732421875,219.8699951171875,233.14999389648438
2007-01-01 00:00:00+00:00,233.14999389648438,241.42999267578125,228.02999877929688,237.0850067138672
2007-02-01 00:00:00+00:00,237.0500030517578,242.41000366210938,230.82000732421875,233.14999389648438
2007-03-01 00:00:00+00:00,233.11000061035156,236.61000061035156,221.07000732421875,231.8699951171875
2007-03-31 23:00:00+00:00,231.8699951171875,239.39999389648438,229.82000732421875,238.64999389648438
2007-04-30 23:00:00+00:00,238.64999389648438,242.33999633789062,236.52999877929688,241.02699279785156
2007-05-31 23:00:00+00:00,241.02699279785156,249.39999389648438,237.80999755859375,247.3300018310547
2007-06-30 23:00:00+00:00,247.3300018310547,257.3599853515625,235.8699951171875,240.3000030517578
2007-07-31 23:00:00+00:00,240.25999450683594,244.02000427246094,219.74000549316406,233.5800018310547
2007-08-31 23:00:00+00:00,233.5800018310547,235.24000549316406,228.22999572753906,234.8800048828125
2007-09-30 23:00:00+00:00,234.89999389648438,240.66000366210938,230.4600067138672,239.9600067138672
2007-11-01 00:00:00+00:00,239.97000122070312,241.77999877929688,204.47000122070312,229.02999877929688
2007-12-01 00:00:00+00:00,229.02999877929688,230.2729949951172,221.0,221.6199951171875
2008-01-01 00:00:00+00:00,221.6199951171875,222.74000549316406,204.79299926757812,211.4199981689453
2008-02-01 00:00:00+00:00,211.5500030517578,213.72000122070312,205.94000244140625,206.39999389648438
2008-03-01 00:00:00+00:00,206.24000549316406,207.88999938964844,192.6300048828125,198.05999755859375
2008-03-31 23:00:00+00:00,201.0399932861328,208.91000366210938,198.02999877929688,206.5399932861328
2008-04-30 23:00:00+00:00,206.52000427246094,209.27999877929688,199.8800048828125,208.64999389648438
2008-05-31 23:00:00+00:00,208.11000061035156,213.85699462890625,204.0,211.49600219726562
2008-06-30 23:00:00+00:00,211.4199981689453,215.80099487304688,208.0,213.77699279785156
2008-07-31 23:00:00+00:00,213.5709991455078,213.8699951171875,195.75999450683594,196.25999450683594
2008-08-31 23:00:00+00:00,196.2899932861328,197.3979949951172,184.5279998779297,188.91000366210938
2008-09-30 23:00:00+00:00,189.02000427246094,189.63299560546875,139.10000610351562,157.7899932861328
2008-11-01 00:00:00+00:00,157.7899932861328,163.22999572753906,137.69000244140625,146.2899932861328
2008-12-01 00:00:00+00:00,146.24000549316406,146.41600036621094,129.8800048828125,131.3800048828125
2009-01-01 00:00:00+00:00,131.3800048828125,141.3800048828125,119.18000030517578,130.0500030517578
2009-02-01 00:00:00+00:00,130.0500030517578,141.61900329589844,125.30000305175781,139.42999267578125
2009-03-01 00:00:00+00:00,139.42999267578125,144.9429931640625,131.5290069580078,141.98800659179688
2009-03-31 23:00:00+00:00,141.9600067138672,151.41799926757812,139.0570068359375,145.9219970703125
2009-04-30 23:00:00+00:00,145.93800354003906,155.77000427246094,143.02000427246094,154.13999938964844
2009-05-31 23:00:00+00:00,154.16000366210938,162.5500030517578,153.49000549316406,158.55999755859375
2009-06-30 23:00:00+00:00,158.5970001220703,159.87899780273438,146.85899353027344,158.0800018310547
2009-07-31 23:00:00+00:00,158.0800018310547,162.6999969482422,151.25999450683594,151.27999877929688
2009-08-31 23:00:00+00:00,149.88999938964844,152.9499969482422,139.75100708007812,143.79400634765625
2009-09-30 23:00:00+00:00,142.44400024414062,151.968994140625,141.16000366210938,148.5500030517578
2009-11-01 00:00:00+00:00,148.5500030517578,151.58999633789062,139.41000366210938,141.91000366210938
2009-12-01 00:00:00+00:00,141.96200561523438,150.66000366210938,141.822998046875,150.2100067138672
2010-01-01 00:00:00+00:00,150.2100067138672,151.1999969482422,143.1199951171875,144.1300048828125
2010-02-01 00:00:00+00:00,144.11099243164062,145.22300720214844,134.47999572753906,134.91299438476562
2010-03-01 00:00:00+00:00,134.87399291992188,142.04100036621094,132.35299682617188,142.04100036621094
2010-03-31 23:00:00+00:00,142.15699768066406,145.9040069580078,139.45899963378906,143.4199981689453
2010-04-30 23:00:00+00:00,143.4199981689453,144.86000061035156,126.73999786376953,132.39999389648438
2010-05-31 23:00:00+00:00,132.3769989013672,136.3459930419922,130.47000122070312,132.11399841308594
